datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,metadata,residual norm,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-02-03T08:25:22.926048+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 36, 'residual norms': [0.43303134036810725, 5.489215292201077, 3.3117898871446236, 2.0233798282887276, 1.0604202595540373, 0.47896155818232306, 0.22367214993582157, 0.11242088425322926, 0.05811197952895147, 0.029228928868269798, 0.014499064130874265, 0.007495479302685404, 0.0039027967630400687, 0.0018550285540289266, 0.0008905967608603297, 0.0004628655009855917, 0.0002437501965891987, 0.0001200849495950486, 5.854950583612352e-05, 2.9416475564056984e-05, 1.4986970312326755e-05, 7.50986525369718e-06, 3.7406621181977873e-06, 1.8756405273003827e-06, 9.465254937693791e-07, 4.7639105515697877e-07, 2.408774558322997e-07, 1.2260432417708731e-07, 6.15334405652536e-08, 3.099508776730538e-08, 1.5710546471173613e-08, 7.885010710820599e-09, 3.915260263899025e-09, 1.983361323350857e-09, 9.99543393264064e-10, 4.973450614263985e-10, 2.4619612707544025e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",2.461959060900294e-10,,"[1818.7965087890625, 42.148929595947266, 41.26323318481445, 40.559425354003906, 42.170433044433594, 41.01270294189453, 40.63798522949219, 40.54832077026367, 40.37356948852539, 40.588863372802734]",[8.393664360046387],[0.026367999613285065],[539.3482666015625],[0.7207679748535156],[1.954975962638855],
2026-02-03T08:25:40.282708+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 51, 'residual norms': [0.43303134036810725, 8.617466590601552, 7.1682467325725865, 5.0282740588167965, 2.8623110635620463, 1.55496870243119, 0.8591260888886924, 0.5260862635306703, 0.358790772117705, 0.24245529803936142, 0.135187176119981, 0.07749189807969081, 0.04750611035757241, 0.030289677318619562, 0.019444444047899013, 0.011489275134124946, 0.006666508978679311, 0.004079793808292006, 0.00268950168553513, 0.0016462267555913635, 0.0009590834065185483, 0.0005754391185387089, 0.0003651282569192043, 0.00023600346107475147, 0.0001426407492890588, 8.397216640906157e-05, 5.162434535456185e-05, 3.3959711834279785e-05, 2.1370093776872512e-05, 1.2675530630370506e-05, 7.675693363982793e-06, 4.809206811586726e-06, 3.1041146050161614e-06, 1.928686952570816e-06, 1.1542783587356834e-06, 6.916385216778531e-07, 4.4011254050149845e-07, 2.8178002258572757e-07, 1.7115120933288843e-07, 1.0172733160598826e-07, 6.217603279585046e-08, 3.96014250738225e-08, 2.4852371918811845e-08, 1.487652024595423e-08, 8.881333969536011e-09, 5.533086760924449e-09, 3.538268021419446e-09, 2.1769689740375756e-09, 1.3126568564792564e-09, 8.00630924247558e-10, 5.02754860114308e-10, 3.1660115501129225e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.166015188280581e-10,,"[52.22780990600586, 50.53260803222656, 50.42313766479492, 50.46860885620117, 50.624000549316406, 50.49193572998047, 50.43414306640625, 50.560543060302734, 50.38188934326172, 52.05110549926758]",[34.7243537902832],[0.013567999936640263],[136.02227783203125],[3.2070400714874268],[0.6393280029296875],
2026-02-03T08:25:41.178442+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 38, 'residual norms': [0.43303134036810725, 7.628984770175513, 5.132236495463403, 2.3689962490187915, 1.018307089492188, 0.48113832708916615, 0.30129038600640956, 0.15482009884108203, 0.0713820323084245, 0.03840387597662744, 0.020657011360980953, 0.009889294988694404, 0.005152138287870722, 0.0028984888956147736, 0.0014102676302697721, 0.0007174912853402536, 0.0003999886497784967, 0.0002053801229518931, 0.00010127839452150592, 5.6909433019789466e-05, 3.013221494530524e-05, 1.4532545055233507e-05, 7.938974483769914e-06, 4.25571291434851e-06, 2.1164331573569732e-06, 1.0953586818043277e-06, 6.056695821814625e-07, 3.0947409335793336e-07, 1.5587220991316428e-07, 8.665224642492862e-08, 4.498609847349125e-08, 2.2284459766175057e-08, 1.2093009482862139e-08, 6.437578819315298e-09, 3.2199429524154733e-09, 1.7037023284926768e-09, 9.167411962687331e-10, 4.605820028828997e-10, 2.3572709628415634e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",2.357254952895987e-10,,"[45.81350326538086, 44.25766372680664, 44.007137298583984, 44.00236892700195, 44.270015716552734, 44.14262390136719, 44.94745635986328, 44.09519958496094, 44.12201690673828, 44.00614547729492]",[8.530303955078125],[0.011648000217974186],[164.90480041503906],[0.4811199903488159],[0.4039359986782074],
2026-02-03T08:25:42.199448+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 26, 'residual norms': [0.43303134036810725, 2.016934364568747, 0.6154572613800949, 0.3510293752198283, 0.11706988903127004, 0.04996638750151688, 0.021373433022409308, 0.006797109963887033, 0.0028800629742208924, 0.0012133494086386972, 0.00042266974177904674, 0.00016997120806964378, 6.04878739916558e-05, 2.6800353831977912e-05, 1.0876158099007802e-05, 4.221380560938859e-06, 1.7761748413488469e-06, 6.898683406516835e-07, 2.737649250191084e-07, 1.0372982833731285e-07, 4.2671197500708656e-08, 1.7657454886567445e-08, 6.7779293866944295e-09, 2.813508987516237e-09, 1.1004777098103145e-09, 4.565899665882802e-10, 1.8906920250283205e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",1.89070287238971e-10,,"[51.94255828857422, 51.97564697265625, 51.26185607910156, 51.071617126464844, 51.26713562011719, 51.110496520996094, 51.24544143676758, 56.79609680175781, 57.084224700927734, 56.61958312988281]",[8.527968406677246],[0.023423999547958374],[163.91920471191406],[0.5018560290336609],[0.4713279902935028],
2026-02-03T08:25:42.985574+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,,,CUDSS,False,0,1,10,393216,4709376,{},2.594297017306322e-13,,"[4.678783893585205, 2.549760103225708, 2.5231359004974365, 2.5374720096588135, 2.515968084335327, 2.5221118927001953, 2.525183916091919, 2.5333759784698486, 2.50982403755188, 2.52620792388916]",[8.45587158203125],[0.012608000077307224],[485.43939208984375],[0.26281601190567017],[0.6216319799423218],
2026-02-03T08:25:56.304585+00:00,continuous coefficient 2D,1,"uniform(2D,9)",S9,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,1572864,18855936,"{'iterations': 37, 'residual norms': [0.21659692317542173, 5.4869711971817905, 3.302591225579717, 2.0275886474667697, 1.0715731815389098, 0.4844308128036061, 0.2249456903289421, 0.11171549217101584, 0.05799782548114477, 0.029469766228382096, 0.014563692490074314, 0.007437841561888832, 0.003867832299463869, 0.001832379798813407, 0.0008744018833947934, 0.0004520297949824365, 0.00023768226730679507, 0.0001174823817494519, 5.7219382687549004e-05, 2.865084357339807e-05, 1.4619290719744184e-05, 7.341681514197278e-06, 3.637783130624204e-06, 1.828297373956344e-06, 9.270475870313064e-07, 4.659539273783798e-07, 2.355439256367164e-07, 1.1974938882652506e-07, 6.027564801311238e-08, 3.016446016269568e-08, 1.5275417135487023e-08, 7.733463489304622e-09, 3.878621653728709e-09, 1.9686475449942767e-09, 1.0042546906756998e-09, 5.085705730627017e-10, 2.556993021841327e-10, 1.2963395222038757e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",1.296377775246763e-10,,"[1808.1177978515625, 62.48953628540039, 62.450496673583984, 65.78092956542969, 62.59862518310547, 62.544193267822266, 62.60176086425781, 62.638145446777344, 62.505985260009766, 62.43193435668945]",[25.979232788085938],[0.014592000283300877],[581.5013427734375],[1.5712000131607056],[0.995743989944458],
2026-02-03T08:26:30.475747+00:00,continuous coefficient 2D,1,"uniform(2D,9)",S9,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,1572864,18855936,"{'iterations': 53, 'residual norms': [0.21659692317542173, 8.78424553868551, 7.270622788181966, 5.111777556104581, 2.903997330780657, 1.5747736703020083, 0.8730093850670854, 0.5344743819044612, 0.36609891732879113, 0.249064123620152, 0.13939917522122391, 0.08063148215163439, 0.04968399102709815, 0.031981886510146246, 0.020636277862407983, 0.012296549290347052, 0.007195482085802478, 0.00445195191426199, 0.0029675520061899136, 0.0018128309410600618, 0.0010645715376176943, 0.0006481623799517699, 0.00041644333176476454, 0.00027075472928728817, 0.00016331541791949906, 9.677188496923605e-05, 6.0222784360171865e-05, 3.9770128965209504e-05, 2.4997154066311173e-05, 1.4820896759592935e-05, 9.034183392122582e-06, 5.706767783416428e-06, 3.7054365436923014e-06, 2.296607029395154e-06, 1.3823768238615939e-06, 8.444055001762344e-07, 5.474973346396058e-07, 3.52595306971327e-07, 2.149814047767342e-07, 1.3044188203507015e-07, 8.231575645105478e-08, 5.365823336931818e-08, 3.412977069697454e-08, 2.0808088682247778e-08, 1.2812287705388891e-08, 8.233029802117728e-09, 5.334240854906947e-09, 3.2993650944434e-09, 2.013799091452556e-09, 1.260531623315971e-09, 8.070442960539813e-10, 5.111660040443942e-10, 3.1324432482144115e-10, 1.9089432087848893e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",1.9089570969232583e-10,,"[74.28192138671875, 72.69757080078125, 72.59417724609375, 72.65017700195312, 72.71517181396484, 72.58195495605469, 72.67139434814453, 72.22281646728516, 73.20543670654297, 72.75769805908203]",[56.45849609375],[0.012543999589979649],[182.2725067138672],[3.1582400798797607],[1.9864319562911987],
2026-02-03T08:26:31.688572+00:00,continuous coefficient 2D,1,"uniform(2D,9)",S9,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,1572864,18855936,"{'iterations': 39, 'residual norms': [0.21659692317542173, 7.651610500677434, 5.131452127072947, 2.3631396158938345, 1.0169288809186041, 0.4786037174074038, 0.301552843777512, 0.15650061089959694, 0.07253293555989775, 0.03911165463333516, 0.02127130293440875, 0.010218570455342248, 0.005355652324759256, 0.0030208581216330465, 0.001467720326259383, 0.0007549718070112312, 0.00042155511187933446, 0.000218264914765446, 0.00010792350531200295, 6.122440398097596e-05, 3.2521057355639094e-05, 1.5854892664224776e-05, 8.786070220481102e-06, 4.764729584451579e-06, 2.3962312314705483e-06, 1.2620244623426832e-06, 7.010347584634384e-07, 3.568343241879547e-07, 1.8207751166559208e-07, 1.0264049372123246e-07, 5.3523451494611883e-08, 2.702306434155449e-08, 1.4894741468424627e-08, 7.93245704116737e-09, 3.991588306929597e-09, 2.142269387239438e-09, 1.1585898076499445e-09, 5.875799680365984e-10, 3.064842398530153e-10, 1.6852352929576972e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",1.685266273588068e-10,,"[70.81053161621094, 69.36505889892578, 69.17689514160156, 69.19328308105469, 69.316162109375, 69.34291076660156, 69.21353912353516, 69.35814666748047, 69.18678283691406, 69.1550064086914]",[33.68889617919922],[0.012223999947309494],[214.9450225830078],[1.4816639423370361],[0.9576320052146912],
2026-02-03T08:26:33.078956+00:00,continuous coefficient 2D,1,"uniform(2D,9)",S9,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,1572864,18855936,"{'iterations': 27, 'residual norms': [0.21659692317542173, 2.0039927930522063, 0.5801712259382529, 0.3446345069656378, 0.11694567963215606, 0.050305737281467096, 0.021619906969513526, 0.006645165856053753, 0.002874154528152426, 0.0012554414045256724, 0.0004428151024256152, 0.0001959189674296982, 7.156409109236187e-05, 3.024561528963241e-05, 1.2826944496059082e-05, 4.873980382637011e-06, 2.099642717775278e-06, 8.242847497956802e-07, 3.26245799257163e-07, 1.288481515696916e-07, 5.2692034584266595e-08, 2.246571117440263e-08, 8.67488473613021e-09, 3.562796694129204e-09, 1.4453955081937569e-09, 5.69551861006858e-10, 2.3267005921169718e-10, 8.154129348553425e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",8.154465955078981e-11,,"[86.80569458007812, 87.89020538330078, 86.10115051269531, 86.04640197753906, 86.35529327392578, 85.92691040039062, 86.08531188964844, 85.9368667602539, 85.99539184570312, 86.21478271484375]",[33.590782165527344],[0.012319999746978283],[216.20687866210938],[1.4709759950637817],[0.9733440279960632],
2026-02-03T08:26:34.677672+00:00,continuous coefficient 2D,1,"uniform(2D,9)",S9,,,CUDSS,False,0,1,10,1572864,18855936,{},5.177623710404339e-13,,"[11.34659194946289, 6.3744001388549805, 6.304768085479736, 6.33241605758667, 6.309887886047363, 6.328320026397705, 6.32422399520874, 6.329343795776367, 6.315008163452148, 6.333439826965332]",[33.694942474365234],[0.012160000391304493],[1242.73291015625],[1.2671680450439453],[0.9788479804992676],
2026-02-03T08:27:02.122744+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,6291456,75460608,"{'iterations': 38, 'residual norms': [0.108308620567285, 5.463131179439456, 3.33785556772232, 2.0553624458042656, 1.0875529341647439, 0.4991531172305995, 0.23415765573831993, 0.11796314703932917, 0.06160734976886831, 0.03148591249434347, 0.015759733601442553, 0.008107649979242003, 0.0042220957099527836, 0.002030043708261219, 0.000984297951872057, 0.0005103132318198752, 0.00026971420007575235, 0.00013474034710613079, 6.623308418161662e-05, 3.3378877139311594e-05, 1.7204679717610986e-05, 8.72779027101667e-06, 4.362736845896248e-06, 2.210251576073507e-06, 1.1349273790285425e-06, 5.76884467596181e-07, 2.91173278730226e-07, 1.4800208221940015e-07, 7.513994323407822e-08, 3.784519139338189e-08, 1.913269073652578e-08, 9.717406265736267e-09, 4.942854036297791e-09, 2.52385209047431e-09, 1.2813111752197022e-09, 6.495615075869439e-10, 3.2951885649400677e-10, 1.673504228226282e-10, 8.548558790278864e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",8.550446073059436e-11,,"[1951.328369140625, 161.949951171875, 162.2815399169922, 162.09146118164062, 161.95834350585938, 161.9866180419922, 161.80259704589844, 161.80221557617188, 163.53680419921875, 161.96665954589844]",[101.4188461303711],[0.015200000256299973],[875.1434936523438],[5.5207037925720215],[3.431583881378174],
2026-02-03T08:28:47.504350+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,6291456,75460608,"{'iterations': 55, 'residual norms': [0.108308620567285, 8.798033908886824, 7.205265468293916, 5.0612641743671585, 2.8585824676046245, 1.5399938020265154, 0.8480348178855321, 0.51771907450203, 0.3539169530886143, 0.24217432009423612, 0.13602302402267602, 0.07880289797640458, 0.04875367052296201, 0.03155679142046358, 0.02043204836420766, 0.012197427709399892, 0.007174137523224518, 0.004463420132055598, 0.0029897351100630415, 0.0018294082232761172, 0.0010784759426591395, 0.0006616513084723403, 0.00042685940178604093, 0.00027759813252192317, 0.00016758406234409462, 9.956016177223672e-05, 6.244634626147454e-05, 4.1522050222750844e-05, 2.6089488343035027e-05, 1.5573932396717958e-05, 9.607513046521126e-06, 6.148169133818414e-06, 4.013483973806799e-06, 2.4942196277719896e-06, 1.513918346243362e-06, 9.382744967190503e-07, 6.161433887458957e-07, 3.9768495404425696e-07, 2.4257531926636566e-07, 1.4854476313454004e-07, 9.482155543271607e-08, 6.195170607678498e-08, 3.911230585570811e-08, 2.3807817459225356e-08, 1.475046951095607e-08, 9.526492596631706e-09, 6.148824541565159e-09, 3.777826379706576e-09, 2.314343685593564e-09, 1.461215070477202e-09, 9.411161591252315e-10, 5.942929191430576e-10, 3.6362401239738583e-10, 2.2360244575879466e-10, 1.4211407689612828e-10, 9.106439141076847e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",9.108902547213827e-11,,"[177.99839782714844, 176.66726684570312, 176.7870330810547, 176.653564453125, 177.02239990234375, 177.04515075683594, 176.64755249023438, 176.4801025390625, 176.74844360351562, 176.58685302734375]",[276.8106994628906],[0.027264000847935677],[370.81134033203125],[6.4617600440979],[5.239744186401367],
2026-02-03T08:28:50.280631+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,6291456,75460608,"{'iterations': 40, 'residual norms': [0.108308620567285, 7.690866375398854, 5.134964195312547, 2.3648825287736495, 1.0199698101616852, 0.4831085140095114, 0.30868360201409667, 0.16092182223197724, 0.07511559720128819, 0.040880453928598966, 0.022479946160811535, 0.010850506839807912, 0.005771328225469153, 0.0032740430007199015, 0.0015958145563605762, 0.0008334550328812474, 0.0004667679606536698, 0.0002405065963038911, 0.00012028751273447419, 6.848131806838253e-05, 3.62276600220122e-05, 1.7746683042242313e-05, 9.926717824504504e-06, 5.349545732603609e-06, 2.6968048991668547e-06, 1.4374131790510615e-06, 7.987219318402066e-07, 4.05959958253213e-07, 2.0944066403470233e-07, 1.1785269367107175e-07, 6.100325403752986e-08, 3.095261277614429e-08, 1.713586134012546e-08, 9.0846653084703e-09, 4.6011167775730914e-09, 2.499189186507068e-09, 1.354424396200365e-09, 6.90998717384433e-10, 3.647717751857775e-10, 2.0123328561857865e-10, 1.0321513886907587e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",1.0323075262336928e-10,,"[183.9160614013672, 182.34915161132812, 182.2907257080078, 182.4416046142578, 182.61672973632812, 182.49098205566406, 182.24978637695312, 182.42425537109375, 182.4635772705078, 182.49472045898438]",[135.4950714111328],[0.02816000021994114],[405.67236328125],[5.3949761390686035],[3.3400959968566895],
2026-02-03T08:28:53.582462+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,6291456,75460608,"{'iterations': 28, 'residual norms': [0.108308620567285, 1.9972696677361823, 0.5672058593643103, 0.3421919426307594, 0.1197505616030325, 0.0523177550975662, 0.023039684484135417, 0.007249881691447837, 0.003073684408941298, 0.0013852940144308463, 0.0004932989513719852, 0.00022966161703910897, 8.810460650088132e-05, 3.655633637610762e-05, 1.640809406304865e-05, 6.251991038631809e-06, 2.779313583101454e-06, 1.1457936755529797e-06, 4.507139277124478e-07, 1.8218690720362979e-07, 7.6567488957811e-08, 3.408278958944937e-08, 1.4119576958130376e-08, 6.0192605299230125e-09, 2.6182434634482293e-09, 1.0553469276463174e-09, 4.5057171297103956e-10, 1.665776465484216e-10, 7.124798229147584e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",7.126475241979565e-11,,"[234.77392578125, 235.28355407714844, 234.30093383789062, 234.30419921875, 234.20159912109375, 234.44345092773438, 234.31430053710938, 234.30921936035156, 234.50656127929688, 234.05722045898438]",[135.40435791015625],[0.012671999633312225],[407.9965515136719],[5.288383960723877],[3.3376638889312744],
2026-02-03T08:28:58.582647+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,,,CUDSS,False,0,1,10,6291456,75460608,{},1.0418541763602465e-12,,"[25.841760635375977, 22.363136291503906, 22.153215408325195, 22.166528701782227, 22.189056396484375, 22.159360885620117, 22.131711959838867, 22.120447158813477, 22.120447158813477, 22.123519897460938]",[135.43869018554688],[0.01398400031030178],[4276.1044921875],[6.214015960693359],[3.408576011657715],
2026-02-03T08:30:26.986289+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,25165824,301916160,"{'iterations': 39, 'residual norms': [0.05415558022970685, 5.462192872921774, 3.314092014940162, 2.0280006130493735, 1.071698713625009, 0.485413513274081, 0.22396316046395442, 0.11085996477299556, 0.05736913867190427, 0.029149157212014398, 0.01446056621013858, 0.007380474397871034, 0.0038419424742812632, 0.0018344646608026097, 0.0008784643167388371, 0.00045505653890618624, 0.0002408530035712133, 0.00011948871399411086, 5.822907516964997e-05, 2.9306856720066993e-05, 1.5075969387605508e-05, 7.6109265858583896e-06, 3.789152861861091e-06, 1.90782942409171e-06, 9.712614546867807e-07, 4.910876834041219e-07, 2.485910198343184e-07, 1.2689706338310855e-07, 6.419025976033087e-08, 3.21673205501659e-08, 1.6306266580842182e-08, 8.294621196718529e-09, 4.1902231891733405e-09, 2.1318029067034664e-09, 1.0866255651787142e-09, 5.498498745700679e-10, 2.76945196514046e-10, 1.40511173245471e-10, 7.21738350411988e-11, 3.691826962733614e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.7085336854218556e-11,,"[2417.5, 571.4086303710938, 572.1161499023438, 571.2783203125, 572.0210571289062, 571.3368530273438, 571.0785522460938, 571.1203002929688, 571.2640991210938, 571.342041015625]",[388.7474365234375],[0.015231999568641186],[1886.0369873046875],[21.225791931152344],[13.069184303283691],
2026-02-03T08:36:43.801139+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,25165824,301916160,"{'iterations': 57, 'residual norms': [0.05415558022970685, 8.801004963085667, 7.2528139248485415, 5.111657430789134, 2.896755968800763, 1.5676834828845172, 0.8686842657693957, 0.5328854434218969, 0.36669272809346115, 0.25108923348892165, 0.1412122537064073, 0.08204050953786558, 0.05088819360681703, 0.03295480154261305, 0.02134596519957813, 0.01279069560711151, 0.007522356278637742, 0.004690849496237564, 0.0031412259143595205, 0.0019186933969848024, 0.001132020048337918, 0.0006945210787340248, 0.0004472728969593663, 0.0002898681465395661, 0.0001746313515212728, 0.00010378355113321481, 6.50504749049454e-05, 4.309404216895618e-05, 2.7032655753196106e-05, 1.6135614968653086e-05, 9.95904616669522e-06, 6.373604216852377e-06, 4.170973713795913e-06, 2.60184386686235e-06, 1.5870165585359624e-06, 9.893675957810991e-07, 6.534181844048583e-07, 4.242595597704233e-07, 2.6039793159374526e-07, 1.6071532153803032e-07, 1.0338919878488016e-07, 6.797893376302154e-08, 4.304279736231374e-08, 2.630428269533266e-08, 1.639865447106624e-08, 1.0650585034874066e-08, 6.882121041708498e-09, 4.2349025788911274e-09, 2.607785752743728e-09, 1.6561650235971577e-09, 1.070518018618882e-09, 6.774055695737904e-10, 4.167668602556412e-10, 2.5888089985006846e-10, 1.6635822701126803e-10, 1.0742665804769638e-10, 6.692711843934815e-11, 4.128411612418964e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.149139009484315e-11,,"[600.65087890625, 599.8192138671875, 599.6048583984375, 599.6387329101562, 599.9651489257812, 601.9180908203125, 599.72412109375, 599.6720581054688, 599.6980590820312, 599.7427368164062]",[845.4185791015625],[0.0163199994713068],[1142.150146484375],[75.97551727294922],[60.32726287841797],
